Field_Season,Date_Collected,Species,Plot,Sex,Weight_grams,Calibrated_Scale,
2014,2014/1/8,PF,2,F,7,Y,
2014,2014/2/18,PF,2,F,7,Y,
2014,2015/1/8,PF,3,M,7,Y,
2014,2015/3/11,PF,3,M,8,Y,
2013,2013/7/18,DM,8,F,22,Y,
2014,2014/1/8,PE,2,M,22,Y,
2014,2015/3/11,OT,3,F,22,Y,
2014,2015/2/18,OT,3,F,23,Y,
2014,2015/2/18,OT,3,M,24,Y,
2014,2015/3/11,OT,3,M,26,Y,
2013,2013/7/18,DM,4,F,29,Y,
2014,2015/6/9,OT,3,F,29,Y,
2013,2013/10/17,DO,17,F,31,Y,
2013,2013/7/16,DM,7,M,33,Y,
2013,2013/10/17,DO,3,F,33,Y,
2013,2013/7/18,DM,7,F,35,Y,
2014,2014/1/8,DM,2,F,35,Y,
2014,1978/1/8,OL,4,M,35,Y,
2013,2013/7/18,DM,7,M,36,Y,
2014,2014/1/9,DM,1,F,36,Y,
2013,2013/7/18,DM,6,F,37,Y,
2014,2014/1/8,DM,2,F,37,Y,
2014,1978/1/8,DM,4,F,37,Y,
2014,1978/1/8,DM,4,M,37,Y,
2014,2014/1/8,DM,2,M,38,Y,
2014,2014/1/8,DM,2,M,38,Y,
2013,2013/11/14,DO,8,F,39,Y,
2014,2014/1/20,DM,1,F,39,Y,
2013,2013/7/18,DM,3,M,40,Y,
2013,2013/12/10,DO,9,F,40,Y,
2014,2014/1/9,DM,1,M,40,Y,
2013,2013/7/18,DM,4,F,41,Y,
2013,2013/10/18,DO,8,F,41,Y,
2013,2013/12/11,DO,8,F,41,Y,
2013,2013/7/18,DM,7,F,42,Y,
2014,1978/1/8,DM,4,F,42,Y,
2014,1978/1/8,DM,4,F,42,Y,
2014,2014/1/20,DM,1,M,43,Y,
2014,2014/1/8,DM,2,M,43,Y,
2014,2014/1/8,DM,2,M,43,Y,
2013,2013/11/12,DO,1,F,44,Y,
2014,2014/3/13,DM,1,F,44,Y,
2014,2014/1/8,DM,2,M,44,Y,
2013,2013/12/10,DO,1,M,45,Y,
2014,2014/1/8,DM,2,M,45,Y,
2014,1978/1/8,DM,4,M,45,Y,
2013,2013/7/18,DM,4,F,46,Y,
2013,2013/7/18,DM,7,M,48,Y,
2013,2013/10/17,DO,17,F,48,Y,
2013,2013/11/12,DO,1,M,48,Y,
2014,2014/1/8,DM,2,M,48,Y,
2014,1978/1/8,DM,4,F,48,Y,
2013,2013/10/17,DO,3,F,50,Y,
2014,2014/3/13,DM,1,F,51,Y,
2013,2013/8/19,DO,8,F,52,Y,
2014,2014/2/18,DM,2,M,52,Y,
2014,1978/1/8,DO,4,M,52,Y,
2013,2013/11/13,DS,4,F,107,Y,
2013,2013/11/12,DS,20,M,115,Y,
2013,2013/11/13,DS,4,F,115,Y,
2014,2015/7/8,NA,3,F,115,Y,
2013,2013/11/12,DS,9,F,117,Y,
2013,2013/11/13,DS,17,F,118,Y,
2013,2013/11/12,DS,9,F,120,Y,
2013,2013/11/12,DS,1,F,121,Y,
2013,2013/11/13,DS,11,F,122,Y,
2013,2013/11/13,DS,11,F,126,Y,
2014,1978/1/8,DS,4,F,128,Y,
2014,2014/1/9,DS,1,F,135,Y,
2014,2014/1/20,DS,1,F,144,Y,
2014,2014/3/13,DS,1,F,146,Y,
2014,2015/5/18,NA,3,F,182,Y,
2014,2015/7/8,NA,3,M,190,Y,
2014,2015/3/11,NA,3,M,232,Y,
